element_idx,element_type,jens,jeans
2910,H,0.995569,0.870934
2911,H,0.981324,0.832025
2912,H,0.84001,0.482135
2913,H,0.855481,0.485251
2914,R,0.594033,0.534791
2915,R,0.602728,0.546307
2916,R,0.661995,0.325638
2917,R,0.639018,0.314827
2918,R,0.677325,0.324436
2919,R,0.639018,0.313983
2920,H,0.862064,0.530879
2921,H,0.84001,0.482135
2922,R,0.602728,0.546307
2923,R,0.63797,0.562476
2924,R,0.625131,0.282778
2925,R,0.667978,0.330589
2926,R,0.625131,0.283677
2927,R,0.663522,0.351158
2928,H,0.965722,0.610492
2929,H,0.968383,0.622641
2930,H,0.985962,0.810912
2931,H,0.993591,0.867834
2932,H,0.996283,0.793395
2933,H,0.996637,0.818522
2934,H,0.991206,0.804623
2935,H,0.994153,0.830959
2936,H,0.951998,0.622641
2937,H,0.951998,0.647033
2938,H,0.987843,0.792384
2939,H,0.983778,0.825345
2940,H,0.995553,0.810091
2941,H,0.994372,0.789356
2942,H,0.988966,0.820261
2943,H,0.990213,0.809072
2944,H,0.99406,0.754291
2945,H,0.993905,0.786858
2946,H,0.945907,0.604458
2947,H,0.945907,0.590599
2948,H,0.993603,0.826099
2949,H,0.993319,0.852935
2950,H,0.991222,0.849822
2951,H,0.987283,0.859765
2952,H,0.993513,0.776829
2953,H,0.993513,0.771524
2954,H,0.947703,0.611516
2955,H,0.955476,0.604458
2956,H,0.990634,0.820363
2957,H,0.989752,0.846665
2958,H,0.99034,0.852873
2959,H,0.985146,0.803001
2960,R,0.603492,0.536899
2961,R,0.617713,0.54059
2962,R,0.657794,0.357076
2963,R,0.613023,0.291548
2964,R,0.673733,0.347986
2965,R,0.613023,0.281434
2966,H,0.848683,0.475402
2967,H,0.848263,0.500635
2968,R,0.589775,0.524925
2969,R,0.603492,0.535194
2970,R,0.685551,0.366926
2971,R,0.682612,0.337528
2972,R,0.657794,0.369179
2973,R,0.682612,0.337528
2974,H,0.848263,0.521439
2975,H,0.858308,0.511764
2976,H,0.996554,0.802765
2977,H,0.992661,0.786052
2978,H,0.936201,0.587201
2979,H,0.936201,0.590365
2980,H,0.984474,0.780586
2981,H,0.984409,0.809653
2982,H,0.987142,0.812147
2983,H,0.994251,0.776137
2984,H,0.992231,0.764681
2985,H,0.992231,0.745571
2986,H,0.950834,0.648018
2987,H,0.958023,0.619943
2988,H,0.99317,0.876281
2989,H,0.995064,0.851605
2990,H,0.994564,0.880275
2991,H,0.985474,0.827956
2992,R,0.613745,0.552118
2993,R,0.64837,0.573944
2994,R,0.629477,0.357292
2995,R,0.626768,0.301208
2996,R,0.681673,0.349939
2997,R,0.626768,0.289928
2998,H,0.853204,0.504108
2999,H,0.842059,0.471299
3000,R,0.617713,0.539994
3001,R,0.613745,0.537571
3002,R,0.629779,0.318196
3003,R,0.67648,0.307183
3004,R,0.629477,0.318196
3005,R,0.6793,0.307183
3006,H,0.842059,0.471299
3007,H,0.849166,0.475402
3008,R,0.714038,0.482966
3009,R,0.706733,0.473273
3010,R,0.706733,0.473273
3011,R,0.701213,0.477478
3012,R,0.743086,0.420512
3013,R,0.755405,0.43223
3014,R,0.743086,0.391441
3015,R,0.751757,0.394537
3016,R,0.857973,0.554212
3017,R,0.855199,0.554212
3018,H,0.98946,0.813041
3019,H,0.990763,0.799806
3020,R,0.723245,0.387846
3021,R,0.735836,0.427637
3022,R,0.723245,0.40802
3023,R,0.732,0.408512
3024,R,0.75696,0.444123
3025,R,0.751757,0.423415
3026,R,0.759361,0.434063
3027,R,0.754679,0.427259
3028,R,0.860666,0.57416
3029,R,0.860666,0.57416
3030,H,0.991959,0.888571
3031,H,0.991326,0.796588
3032,R,0.73614,0.439552
3033,R,0.711506,0.405661
3034,R,0.729384,0.435195
3035,R,0.735836,0.446719
3036,R,0.724735,0.505929
3037,R,0.72033,0.4861
3038,R,0.697204,0.47415
3039,R,0.757588,0.496796
3040,R,0.702504,0.484604
3041,R,0.702504,0.484604
3042,R,0.743298,0.502557
3043,R,0.714038,0.482966
3044,R,0.695555,0.394611
